name,team,pos,gp,g,a,ppg,ppa,shg,sha,sog,hit,blk,pim,+/-,w,so,sv,ga
Linus Ullmark,OTT,G,49,28,3,1067,131
Juuse Saros,NSH,G,59,28,0,1519,181
Filip Gustavsson,MIN,G,50,28,4,1245,133
Sergei Bobrovsky,FLA,G,52,27,4,1096,154
Jet Greaves,CBJ,G,55,26,2,1397,142
Igor Shesterkin,NYR,G,51,25,1,1299,126
Joel Hofer,STL,G,46,24,6,1137,114
Stuart Skinner,PIT,G,50,23,2,1125,142
Jacob Markstrom,NJD,G,44,23,1,983,130
Connor Hellebuyck,WPG,G,57,23,0,1385,162
Mackenzie Blackwood,COL,G,39,23,3,843,90
Dustin Wolf,CGY,G,57,23,2,1401,158
Ukko-Pekka Luukkonen,BUF,G,35,22,1,846,85
Yaroslav Askarov,SJS,G,47,21,0,1185,157
Joey Daccord,SEA,G,47,20,2,1173,136
Alex Lyon,BUF,G,36,20,3,888,92
Darcy Kuemper,LAK,G,50,19,3,1100,134
Arturs Silovs,PIT,G,39,19,2,906,115
Spencer Knight,CHI,G,55,19,3,1428,155
Tristan Jarry,EDM,G,33,18,2,734,98
Jesper Wallstedt,MIN,G,35,18,4,934,87
Alex Nedeljkovic,SJS,G,40,18,0,940,109
Jake Allen,NJD,G,37,17,1,932,100
Anton Forsberg,LAK,G,36,16,3,866,87
Connor Ingram,EDM,G,32,16,2,686,77
Akira Schmid,VGK,G,34,16,2,706,85
Frederik Andersen,CAR,G,35,16,0,742,107
Casey DeSmith,DAL,G,30,15,1,689,71
